strategy,spans,channel,band,frequency_thz,wavelength_nm,distance_km,launch_power_dbm,ase_psd_w_per_hz,ase_channel_w,ase_receiver_w,ase_01nm_w,nli_w,transceiver_noise_w,total_noise_w,optical_noise_bandwidth_hz,receiver_equivalent_bandwidth_hz,gsnr_db,osnr_01nm_db,ber,evm_percent,q_factor_db,gmi_bits_per_2d_symbol_per_pol,ngmi,air_per_channel_gbps,metric_basis,calibrated_receiver_snr_db,calibrated_receiver_ngmi
flat,1,0,C,193.33766646153845,1550.6158912890319,80.0,0.0,2.601400007380698e-18,1.0072620828578063e-07,9.156928025980057e-08,3.243540903878589e-08,6.748053267617244e-07,3.162277660168379e-07,1.0826023730383628e-06,38720000000.0,35200000000.0,29.655310252808555,44.88980620867176,2.1025012152507595e-12,6.491420737864417,16.814808156854976,4.0,1.0,256.0,calibrated_receiver,23.75320482797332,1.0
flat,1,1,C,193.38766646153843,1550.2149826065752,80.0,0.0,2.5953445679078494e-18,1.0049174166939192e-07,9.13561287903563e-08,3.2376646805942174e-08,7.758493179644501e-07,3.162277660168379e-07,1.1834332127716442e-06,38720000000.0,35200000000.0,29.268562465166315,44.897681323919514,3.2260020022386235e-12,6.54957343523683,16.738243127786536,4.0,1.0,256.0,calibrated_receiver,23.67573968186016,1.0
flat,1,2,C,193.43766646153844,1549.8142811788327,80.0,0.0,2.5958632754761798e-18,1.0051182602643768e-07,9.137438729676152e-08,3.2399864974748954e-08,8.237129838475884e-07,3.162277660168379e-07,1.231315137161188e-06,38720000000.0,35200000000.0,29.0963078150029,44.894567996959694,3.894347826207279e-12,6.575641633537134,16.704146564921068,4.0,1.0,256.0,calibrated_receiver,23.641237269513013,1.0
flat,1,3,C,193.48766646153842,1549.4137868451314,80.0,0.0,2.603944373991959e-18,1.0082472616096866e-07,9.165884196451697e-08,3.251753177859873e-08,8.535505595922651e-07,3.162277660168379e-07,1.26143716757362e-06,38720000000.0,35200000000.0,28.99134376898808,44.87882426657794,4.364658562707023e-12,6.591577240486966,16.683371198600373,4.0,1.0,256.0,calibrated_receiver,23.62021308936001,1.0
flat,1,4,C,193.53766646153844,1549.0134994449645,80.0,0.0,2.6121100055614377e-18,1.0114089941533887e-07,9.19462721957626e-08,3.263636341441441e-08,8.750246227543991e-07,3.162277660168379e-07,1.2831986609669996e-06,38720000000.0,35200000000.0,28.917061022511106,44.86298239533401,4.729884661942188e-12,6.602878153172045,16.668669226357423,4.0,1.0,256.0,calibrated_receiver,23.60533433893559,1.0
flat,1,5,C,193.58766646153845,1548.6134188179913,80.0,0.0,2.6203650177404068e-18,1.0146053348690855e-07,9.223684862446232e-08,3.2756422157893785e-08,8.914733725737158e-07,3.162277660168379e-07,1.299937987215016e-06,38720000000.0,35200000000.0,28.8607736496447,44.847035404262776,5.025949387802086e-12,6.611454263302607,16.657529265730975,4.0,1.0,256.0,calibrated_receiver,23.594060041569847,1.0
flat,1,6,C,193.63766646153843,1548.213544804036,80.0,0.0,2.6287143145700047e-18,1.0178381826015059e-07,9.253074387286416e-08,3.28777711172787e-08,9.045526288560926e-07,3.162277660168379e-07,1.3133111387457947e-06,38720000000.0,35200000000.0,28.816323722862283,44.83097632259647,5.27221499529098e-12,6.618234656008459,16.64873231520796,4.0,1.0,256.0,calibrated_receiver,23.58515677131739,1.0
flat,1,7,C,193.68766646153844,1547.8138772430889,80.0,0.0,2.6371628646177873e-18,1.0211094611800073e-07,9.282813283454611e-08,3.3000474335883255e-08,9.152033140557244e-07,3.162277660168379e-07,1.3242592129071084e-06,38720000000.0,35200000000.0,28.78026996983415,44.814798176985924,5.480412839908024e-12,6.623739403356593,16.641597178327654,4.0,1.0,256.0,calibrated_receiver,23.577935245207883,1.0
flat,1,8,C,193.73766646153842,1547.4144159753055,80.0,0.0,2.6457157100711714e-18,1.0244211229395575e-07,9.312919299450523e-08,3.3124596908111055e-08,9.240101721697443e-07,3.162277660168379e-07,1.3333671311810875e-06,38720000000.0,35200000000.0,28.75050254867139,44.79849397935082,5.658222602609486e-12,6.6282877935789255,16.635706226780144,4.0,1.0,256.0,calibrated_receiver,23.571972864288156,1.0
flat,1,9,C,193.78766646153844,1547.0151608410054,80.0,0.0,2.6543779768603676e-18,1.0277751526403343e-07,9.343410478548493e-08,3.325020510872267e-08,9.313603093726852e-07,3.162277660168379e-07,1.341022180175008e-06,38720000000.0,35200000000.0,28.72564038965738,44.78205671343983,5.81095404608541e-12,6.6320890651571425,16.630786094602303,4.0,1.0,256.0,calibrated_receiver,23.566993001850026,1.0
flat,1,10,C,193.83766646153845,1546.6161116806743,80.0,0.0,2.6631548857885404e-18,1.0311735717773228e-07,9.374305197975663e-08,3.3377366535121024e-08,9.375221808271043e-07,3.162277660168379e-07,1.347492998823699e-06,38720000000.0,35200000000.0,28.704734826014338,44.765479320181505,5.942428213498343e-12,6.6352870847395735,16.626649008869013,4.0,1.0,256.0,calibrated_receiver,23.56280564100678,1.0
flat,1,11,C,193.88766646153843,1546.2172683349609,80.0,0.0,2.6720517646486604e-18,1.0346184432719613e-07,9.405622211563285e-08,3.3506150262443726e-08,9.426885504712668e-07,3.162277660168379e-07,1.3529725386037375e-06,38720000000.0,35200000000.0,28.687110182241774,44.7487546819047,6.055477688978497e-12,6.63798440505302,16.623161233313258,4.0,1.0,256.0,calibrated_receiver,23.55927544471695,1.0
flat,1,12,C,193.93766646153844,1545.8186306446798,80.0,0.0,2.6810740613079703e-18,1.038111876538446e-07,9.437380695804055e-08,3.363662701126709e-08,9.470014755400063e-07,3.162277660168379e-07,1.3576030485148848e-06,38720000000.0,35200000000.0,28.672271954755114,44.731875605506524,6.152248566400171e-12,6.640256135277979,16.620224892591995,4.0,1.0,256.0,calibrated_receiver,23.556303364469713,1.0
flat,1,13,C,193.98766646153842,1545.4201984508086,80.0,0.0,2.690227357743982e-18,1.0416560329184699e-07,9.469600299258817e-08,3.376886932776533e-08,9.505676206562341e-07,3.162277660168379e-07,1.3614913896656603e-06,38720000000.0,35200000000.0,28.659851008774616,44.71483480464174,6.23439169564694e-12,6.6421583778774345,16.617766926215506,4.0,1.0,256.0,calibrated_receiver,23.553815462984588,1.0
